                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4748,                 3.5351,                 2.0124,                 0.0265,                0.45821,                0.02757,                0.00884,                 2.0964,                 3.3985,                  1.848,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.0792,                 3.2616,                 1.7239,                0.04817,                0.83285,                0.09123,                0.03462,                 1.7735,                 3.1815,                 1.4858,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.8736,                 2.2927,                 1.3945,                0.57836,                0.19597,                0.26407,                0.11754,                   1.74,                 2.8146,                 1.3447,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.7373,                 1.4912,                 1.2864,                0.53874,                0.24572,                0.32349,                0.14786,                 1.6882,                  2.891,                 1.4235,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.6846,                 1.2635,                  1.243,                0.04492,                0.60519,                0.11329,                0.05488,                 1.7429,                 3.4613,                 1.7278,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.6914,                 1.1908,                 1.2604,                0.04977,                0.44092,                0.09053,                0.04371,                 1.7709,                 3.6528,                 1.8112,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.6578,                 1.1303,                 1.2478,                 0.0359,                0.20173,                 0.0358,                0.01654,                 1.8302,                 4.0073,                 1.8991,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.5896,                 1.0837,                 1.2177,                0.05441,                0.38617,                0.09811,                0.03821,                 1.7909,                 3.8698,                  1.793,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.5826,                 1.1132,                 1.2129,                0.91095,                0.17689,                0.30004,                 0.1345,                 1.7287,                 3.2259,                  1.579,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.5737,                 1.0636,                 1.2245,                0.90753,                0.28284,                0.52234,                0.23844,                 1.7896,                 2.7212,                 1.4806,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.5443,                 1.0098,                 1.2182,                 0.9059,                0.56196,                0.70302,                0.35386,                 1.7086,                 2.1602,                 1.4021,             0.00086616,             0.00086616,             0.00086616
                     12,                 1.4837,                0.97075,                 1.1976,                0.93033,                0.69272,                0.84366,                 0.4268,                 1.6381,                 1.7315,                 1.3359,               0.000923,               0.000923,               0.000923
                     13,                 1.4928,                0.96666,                  1.216,                0.90106,                0.73199,                  0.876,                0.44198,                 1.6989,                 1.6402,                 1.3323,             0.00097587,             0.00097587,             0.00097587
                     14,                 1.5382,                  0.952,                    1.2,                0.90906,                0.92507,                0.94055,                0.47759,                 1.6491,                 1.3267,                 1.3032,              0.0010248,              0.0010248,              0.0010248
                     15,                 1.5406,                0.94378,                 1.2061,                0.89606,                0.92219,                0.93998,                0.49977,                 1.6414,                 1.2486,                  1.258,              0.0010697,              0.0010697,              0.0010697
                     16,                 1.5176,                0.95584,                 1.2179,                0.91083,                0.93948,                0.95561,                0.51207,                 1.6391,                  1.173,                 1.2391,              0.0011107,              0.0011107,              0.0011107
                     17,                 1.5308,                0.91114,                 1.1803,                0.93546,                0.96078,                0.96315,                0.49501,                 1.6467,                 1.0684,                 1.2505,              0.0011478,              0.0011478,              0.0011478
                     18,                  1.513,                0.90516,                 1.2023,                0.93266,                0.95788,                0.95849,                0.50658,                 1.6342,                 1.0407,                 1.2429,              0.0011809,              0.0011809,              0.0011809
                     19,                 1.4984,                0.90957,                  1.207,                0.93798,                0.95887,                0.96979,                0.53612,                 1.5666,                 1.0092,                 1.2076,                0.00121,                0.00121,                0.00121
                     20,                 1.5123,                0.89053,                 1.1965,                0.95031,                0.94813,                0.96316,                0.52063,                 1.5826,                 1.0266,                 1.2236,              0.0012351,              0.0012351,              0.0012351
                     21,                  1.463,                0.87308,                 1.1981,                0.93799,                0.95908,                0.97161,                 0.5301,                 1.5312,                0.95326,                 1.2137,               0.001208,               0.001208,               0.001208
                     22,                 1.4415,                 0.8878,                 1.2087,                0.91496,                0.96125,                0.96829,                0.52802,                 1.5287,                0.90262,                 1.2106,               0.001208,               0.001208,               0.001208
                     23,                 1.4333,                0.87813,                 1.1657,                0.91442,                0.97406,                0.97432,                0.52734,                 1.5428,                0.87873,                 1.2134,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.4652,                0.85647,                 1.2052,                0.93182,                0.97406,                0.97618,                0.54369,                 1.5411,                0.86575,                 1.2169,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.4437,                0.82032,                 1.1497,                0.91527,                0.97118,                0.97811,                0.53782,                 1.5271,                0.85373,                 1.2312,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.4544,                 0.8299,                  1.169,                0.93049,                 0.9644,                0.97487,                0.53225,                 1.5231,                0.85993,                 1.2636,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.4375,                0.81403,                  1.165,                0.93418,                0.96254,                 0.9748,                0.54498,                 1.5092,                 0.8737,                 1.2604,                0.00101,                0.00101,                0.00101
                     28,                 1.4534,                0.86328,                 1.1752,                0.92851,                0.97316,                0.97924,                0.55164,                 1.5109,                0.89062,                  1.263,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.4154,                 0.8348,                 1.1737,                0.93643,                0.97636,                 0.9819,                0.55351,                 1.5153,                0.89989,                 1.2419,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.4051,                0.80942,                 1.1631,                0.93296,                0.97983,                0.98274,                0.55472,                 1.5033,                0.87224,                 1.2314,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.3979,                0.80759,                 1.1464,                0.92361,                0.97562,                 0.9799,                0.54816,                 1.4942,                0.81186,                 1.2388,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.4412,                0.80909,                  1.174,                0.91642,                0.97118,                0.97221,                0.54983,                 1.4944,                0.76541,                 1.2361,               0.000812,               0.000812,               0.000812
                     33,                 1.4103,                0.79104,                 1.1481,                0.91684,                0.97406,                0.98134,                0.56357,                 1.4737,                0.76272,                  1.205,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.4052,                0.82621,                 1.1641,                 0.9274,                0.95718,                0.98316,                0.55749,                 1.4857,                0.77537,                 1.2058,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.4223,                0.78345,                 1.1422,                0.93071,                0.95965,                0.98248,                0.55298,                 1.4945,                0.77979,                  1.223,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.4127,                0.78161,                  1.144,                0.91749,                0.96137,                 0.9745,                0.53104,                 1.5403,                0.79702,                 1.2664,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.4175,                0.77831,                 1.1451,                0.91815,                 0.9698,                0.97892,                0.55138,                 1.5083,                0.78307,                 1.2381,               0.000614,               0.000614,               0.000614
                     38,                  1.399,                0.77625,                 1.1368,                0.93008,                0.97406,                0.98124,                0.56401,                 1.5018,                0.76552,                 1.2274,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.3985,                0.77112,                  1.151,                0.92607,                0.97469,                0.98247,                0.56538,                 1.4875,                0.75589,                 1.2168,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.3912,                0.75155,                 1.1259,                0.92415,                0.98559,                0.98656,                0.57121,                 1.4653,                0.73125,                  1.225,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.3345,                 0.8381,                 1.1669,                0.91963,                0.98933,                0.98729,                0.57028,                  1.464,                0.72365,                 1.2302,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.3509,                0.83668,                 1.1771,                0.92233,                0.99237,                0.98697,                0.57041,                 1.4704,                0.72469,                 1.2312,               0.000416,               0.000416,               0.000416
                     43,                 1.3522,                0.83228,                 1.1415,                 0.9271,                0.98948,                0.98529,                0.56933,                 1.4727,                0.73391,                 1.2185,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.3568,                 0.7788,                 1.1559,                0.93881,                0.97276,                0.98381,                0.57694,                 1.4681,                0.75585,                 1.1882,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.3342,                0.75647,                 1.1476,                0.94643,                0.96744,                0.98485,                0.57239,                 1.4717,                 0.7407,                 1.1852,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.3191,                0.75113,                 1.1288,                0.94164,                 0.9683,                 0.9857,                0.57295,                   1.47,                0.72093,                   1.19,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.3255,                0.73421,                 1.1294,                0.94868,                0.96542,                0.98581,                0.56756,                 1.4683,                0.70466,                 1.1983,               0.000218,               0.000218,               0.000218
                     48,                 1.3267,                 0.7351,                 1.1263,                0.95178,                0.96708,                0.98516,                 0.5649,                 1.4621,                0.69926,                 1.2135,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3184,                0.71319,                  1.127,                0.93616,                0.97406,                0.98513,                0.56309,                  1.464,                0.70656,                  1.223,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3134,                0.71542,                 1.1276,                0.92966,                0.97406,                0.98455,                0.55725,                 1.4678,                 0.7129,                 1.2309,               9.92e-05,               9.92e-05,               9.92e-05
